 |Site1|Site2|Site3|Site4|Site5|Site6|Site7|Site8|Site9|Site10|Site11|Site12|Site13|Site14|Site15|Site16|Site17|Site18|Site19|Site20|Site21|Site22|Site23|Site24|Site25|Site26|Site27|Site28|Site29|Site30|Site31|Site32|Site33|Site34|Site35|Site36|Site37|Site38|Site39|Site40|Site41|Site42|Site43|Site44|Site45|Site46|Site47|Site48|Site49|Site50|Site51|Site52|Site53|Site54|Site55|Site56|Site57|Site58|Site59|Site60|Site61|Site62|Site63|Site64|Site65|Site66|Site67|Site68|Site69|Site70|Site71|Site72|Site73|Site74|Site75|Site76|Site77|Site78|Site79|Site80|Site81|Site82|Site83|Site84|Site85|Site86|Site87
|Silverchase Fox|35|242|18|56|46|0|152|3|3|162|26|14|3|55|180|12|0|0|45|58|53|20|48|51|2|24|13|1|12|32|9|8|1|12|1|0|4|1|3|14|0|11|1|16|0|2|6|4|1|0|4|5|1|4|15|3|1|3|2|22|3|0|6|0|2|2|4|2|8|6|0|5|3|8|4|4|1|0|8|1|5|7|4|5|0|0|
|Slayer of the Wicked|80|475|20|10|0|4|974|24|3|57|24|0|4|57|70|52|10|6|14|3|41|2|49|9|5|26|4|1|61|1|6|8|1|12|1|0|4|1|3|13|0|11|1|17|0|2|3|8|1|0|4|5|1|2|15|3|3|3|2|22|3|0|6|0|2|2|4|2|8|6|3|4|4|8|2|6|1|7|3|1|7|9|8|3|1|4|
|Smite the Monstrous|59|1258|405|33|115|12|501|13|0|102|229|218|12|150|140|265|119|83|101|35|29|32|257|160|70|0|33|16|62|29|112|5|58|0|1|66|24|1|3|13|0|105|5|23|3|9|30|8|27|3|4|164|5|32|15|1|32|8|2|22|3|0|6|61|6|5|4|19|37|70|147|8|27|8|1|4|0|7|9|9|2|2|8|9|7|7|
|Spare from Evil|25|441|14|1|22|0|293|9|1|43|15|4|18|56|8|31|1|11|20|21|0|36|27|18|14|29|13|2|25|12|2|5|2|0|1|66|24|1|3|1|0|105|5|23|3|9|4|8|27|3|4|164|1|7|15|1|3|8|2|22|3|0|6|61|6|5|4|19|37|70|147|8|27|2|6|4|4|6|7|3|1|6|5|6|3|5|
|Spectral Rider|29|333|22|2|1|4|306|6|8|5|69|2|0|31|53|31|35|12|8|12|26|7|2|17|6|2|27|2|3|12|1|5|1|1|1|66|24|1|3|1|0|1|1|23|1|2|4|8|27|3|4|164|1|7|15|1|2|8|2|22|3|0|6|61|6|5|4|19|37|70|147|8|27|7|2|6|0|3|9|5|4|9|2|2|5|5|
|Stony Silence|29|1|22|1|1|4|10|6|2|4|69|2|0|31|53|31|1|12|1|12|0|7|2|2|6|2|27|2|1|12|2|16|1|1|1|2|4|1|10|1|3|1|1|23|2|2|4|0|27|0|2|3|1|7|15|1|2|0|2|22|3|0|6|61|6|5|4|19|37|70|147|8|27|3|2|2|3|0|2|1|5|8|3|0|7|4|
|Thraben Purebloods|34|433|18|68|13|38|610|10|10|12|20|14|4|44|53|3|22|3|29|13|3|19|6|11|32|24|16|4|25|5|7|16|1|1|1|2|4|1|10|1|3|1|1|23|2|2|4|0|27|0|2|3|0|7|15|1|1|0|2|22|3|0|6|61|6|5|4|19|37|70|147|8|27|1|0|2|9|6|3|3|1|2|4|7|4|5|
|Thraben Sentry|17|65|1|12|13|18|610|2|2|45|24|8|11|53|68|43|6|11|46|0|74|8|34|30|5|16|16|4|10|1|1|16|1|1|1|2|4|1|10|1|3|1|1|23|5|2|4|0|27|0|2|3|2|1|15|1|1|0|2|22|3|0|6|61|6|5|4|19|37|70|147|8|27|4|1|8|6|1|3|3|5|6|1|8|9|5|
|Thraben Militia|17|269|1|5|4|18|133|2|2|45|24|8|8|53|68|43|6|11|46|0|74|8|34|30|5|16|16|4|10|1|1|16|1|1|1|2|4|1|10|1|3|1|1|23|5|2|4|0|27|0|2|3|2|1|15|1|1|0|2|22|3|0|6|61|6|5|4|19|37|70|147|8|27|0|1|4|1|5|9|2|0|5|4|4|6|0|
|Unruly Mob|82|410|18|26|12|36|394|11|0|25|266|85|9|128|177|130|27|15|158|32|38|17|87|24|3|76|12|6|1|7|68|14|9|3|20|39|34|9|10|1|3|41|10|14|5|44|2|6|0|0|8|6|2|1|15|5|5|0|0|22|3|0|6|13|6|13|4|2|99|29|25|17|2|9|4|3|1|5|3|5|8|0|9|9|8|9|
|Urgent Exorcism|10|460|4|22|19|12|295|1|6|24|120|25|10|52|0|16|12|9|8|18|48|19|9|89|4|0|25|6|51|17|8|14|9|3|20|39|34|9|10|1|3|3|10|14|2|44|2|6|0|0|8|6|2|32|15|5|5|0|0|22|3|3|6|13|6|13|4|2|99|29|25|17|2|2|8|7|8|9|8|2|3|0|9|2|9|2|
|Village Bell-Ringer|6|782|22|55|19|34|702|11|6|63|86|14|1|13|69|24|4|2|17|30|43|6|0|44|11|31|2|2|17|2|0|14|0|3|20|39|34|9|10|1|3|13|10|1|2|1|11|2|0|0|2|6|3|14|6|5|5|0|0|22|3|3|6|13|6|13|4|2|99|29|25|17|2|2|8|7|4|3|7|1|3|1|5|2|1|7|
|Voiceless Spirit|18|108|13|52|8|16|71|6|12|29|59|8|38|51|50|14|5|16|28|4|43|8|33|34|19|13|6|2|38|3|1|14|0|3|20|39|34|9|10|1|3|13|3|1|2|1|1|2|0|0|2|2|2|6|6|5|5|0|0|22|3|3|6|13|6|13|4|2|99|29|25|17|2|0|6|0|6|2|3|9|0|9|7|8|7|3|
|Armored Skaab|39|141|0|37|29|24|857|11|35|57|0|5|21|4|57|15|16|20|14|3|2|16|80|48|2|30|38|2|27|14|4|14|0|3|20|39|34|9|10|1|3|13|1|1|1|1|1|2|0|0|2|2|2|2|6|5|5|0|0|22|3|1|6|13|6|13|4|2|99|29|25|17|2|1|4|5|2|1|9|9|0|0|6|3|3|2|
|Back from the Brink|8|179|24|7|11|8|141|3|35|10|152|2|5|2|65|3|6|0|1|27|1|16|7|75|2|30|4|1|20|1|3|22|0|4|1|39|34|1|10|1|3|0|1|2|1|2|1|2|0|0|1|2|2|2|6|2|8|0|0|3|3|1|6|13|6|13|4|2|99|29|25|17|2|9|6|1|3|8|5|7|7|8|6|4|3|6|
|Battleground Geist|20|141|61|17|36|29|374|2|35|96|44|16|4|0|33|11|8|7|8|2|58|10|20|56|6|32|4|2|45|1|1|22|0|4|1|39|34|1|10|1|3|0|1|2|2|2|1|2|0|0|1|2|2|2|6|2|0|0|0|3|3|1|6|13|6|13|4|2|99|29|25|17|2|9|9|6|8|1|0|0|4|7|1|1|2|7|
|Cackling Counterpart|41|86|2|17|6|9|82|2|9|1|1|2|4|3|6|15|0|7|1|0|6|10|20|32|3|32|3|2|69|1|4|14|9|24|4|3|6|1|10|1|5|1|2|0|2|1|1|1|0|1|0|2|1|2|1|2|2|0|2|2|1|1|6|2|6|7|4|2|1|29|25|17|2|4|0|1|0|6|7|6|7|6|5|9|7|6|
|Civilized Scholar|1|28|18|17|24|0|82|18|1|67|65|2|2|45|9|40|6|7|13|24|73|21|7|48|4|17|3|2|47|0|3|14|9|24|4|3|6|1|10|1|5|1|2|0|2|1|1|1|0|1|0|2|1|2|1|2|2|0|2|2|1|1|6|2|6|7|4|2|1|29|25|17|2|9|0|2|1|9|6|7|9|9|4|9|6|4|
|Homicidal Brute|1|164|18|1|2|0|419|18|1|67|65|2|4|45|9|40|6|7|13|24|73|21|7|48|4|17|3|2|47|0|3|14|9|24|4|3|6|1|10|1|5|1|2|0|2|1|1|1|0|1|0|2|1|2|1|2|2|0|2|2|1|1|6|2|6|7|4|2|1|29|25|17|2|9|3|0|2|7|7|6|0|7|9|4|6|7|
|Claustrophobia|121|582|168|41|14|99|733|23|5|55|325|81|65|112|0|193|0|94|126|6|31|11|172|122|14|120|68|5|118|0|46|14|90|24|4|14|6|2|10|1|5|22|2|0|3|7|3|1|0|1|2|15|1|1|1|2|4|0|2|2|1|2|4|8|2|2|4|6|18|29|46|17|2|2|4|3|9|9|5|4|7|6|6|8|4|4|
|Curiosity|121|34|15|64|14|8|36|6|5|55|0|5|1|19|0|2|2|94|10|2|131|5|172|3|14|120|68|5|118|0|1|14|90|24|4|14|6|2|10|1|5|22|2|0|3|7|3|1|0|1|2|15|1|2|7|2|4|0|2|0|1|2|4|8|2|2|4|6|18|29|46|17|2|4|6|6|8|0|0|6|3|8|7|8|6|3|
|Curse of the Bloody Tome|44|364|1|60|14|11|47|6|5|1|2|5|1|11|1|2|2|94|7|2|131|3|172|3|10|120|68|5|0|1|1|14|90|3|4|14|6|2|10|1|5|22|2|0|3|0|3|1|0|1|2|15|1|1|7|2|0|0|2|0|1|2|4|8|2|2|4|6|18|29|46|17|2|9|4|8|8|4|9|8|7|7|3|6|8|2|
|Delver of Secrets|51|17|1|4|14|1|47|6|134|16|0|5|52|11|1|2|2|0|7|2|131|3|0|40|2|1|68|5|50|1|19|14|15|0|4|14|7|0|10|1|5|22|2|0|3|6|3|1|0|1|2|29|1|2|2|2|0|2|0|3|1|2|2|8|2|2|4|6|18|29|46|17|2|4|8|9|2|3|0|6|1|3|1|7|3|1|
|Insectile Aberration|51|8|1|1|14|1|47|6|134|16|0|5|52|11|1|2|2|0|7|2|131|3|0|40|2|1|68|5|50|1|19|14|15|0|4|14|7|0|28|1|5|22|2|0|3|6|3|1|0|1|2|29|1|2|2|2|0|2|0|3|1|2|2|8|2|2|4|6|18|29|46|17|2|2|1|3|1|7|5|2|9|4|0|2|2|6|
|Deranged Assistant|25|235|11|6|2|2|127|6|7|34|40|18|7|43|22|18|39|13|34|14|6|11|43|50|0|10|33|26|0|4|2|14|15|0|4|14|7|1|6|1|5|22|2|0|3|6|3|1|0|0|2|29|1|2|1|2|0|2|0|3|1|2|2|8|2|2|4|6|18|29|46|17|2|6|9|6|9|0|0|6|0|1|7|2|1|9|
|Dissipate|16|646|9|15|2|11|44|21|29|4|15|18|9|14|5|25|10|4|2|14|0|11|43|43|2|1|7|26|1|6|6|2|32|19|4|1|7|2|6|1|38|4|1|0|3|2|3|1|0|1|2|29|1|2|0|2|2|2|0|18|8|2|2|8|2|2|4|6|18|29|46|17|2|1|2|0|4|4|2|3|1|4|8|3|7|4|
|Dream Twist|83|314|1|15|2|11|143|27|6|126|13|1|7|59|52|49|2|1|38|31|80|2|43|103|6|14|2|26|12|10|9|0|2|19|4|1|7|2|6|2|38|11|1|0|3|4|0|1|0|1|10|29|1|2|1|2|2|26|0|18|8|2|2|8|2|18|4|14|18|4|46|17|2|8|1|3|9|8|0|0|2|2|3|0|6|6|
|Forbidden Alchemy|0|0|17|26|22|46|1796|41|76|138|127|51|7|65|35|8|46|19|13|16|37|0|20|83|6|68|10|26|118|3|9|3|39|119|14|1|40|0|29|76|40|20|10|5|3|2|8|18|0|10|7|29|1|1|4|5|0|8|11|22|8|2|0|12|2|8|4|14|3|4|46|17|2|0|5|7|2|4|1|6|3|2|2|7|2|7|
|Fortress Crab|36|573|11|42|32|31|168|1|10|4|24|17|10|13|13|40|13|10|57|19|2|36|56|7|8|13|8|3|54|15|4|3|1|119|14|1|40|0|29|76|40|20|10|5|3|2|8|18|0|10|7|29|1|8|4|5|0|8|11|22|8|1|0|12|2|8|4|14|3|4|46|17|2|9|2|7|3|8|9|4|3|0|4|6|1|1|
|Frightful Delusion|10|494|21|48|5|19|526|11|4|33|14|17|10|10|52|17|9|22|48|40|7|8|72|25|2|19|7|3|46|4|2|3|1|119|14|1|40|0|29|76|40|20|10|1|3|2|8|18|0|10|7|29|1|0|4|5|2|8|11|22|8|1|0|12|2|8|4|14|3|4|46|17|2|0|0|1|0|4|9|4|6|6|9|9|6|8|
|Grasp of Phantoms|73|54|16|20|39|38|161|7|106|0|123|31|14|66|135|104|50|2|27|70|19|32|22|135|35|0|39|4|136|13|86|3|14|160|2|1|46|0|29|7|40|20|4|1|1|0|1|6|0|10|13|29|2|4|4|5|1|1|11|22|8|1|0|3|2|23|4|14|11|4|46|9|2|4|6|6|8|4|5|0|1|8|3|7|7|7|
|Hysterical Blindness|13|318|6|20|22|46|524|7|0|4|104|22|10|53|150|10|2|11|5|15|8|24|3|0|1|22|6|4|28|15|5|3|14|160|2|1|46|0|29|7|40|20|4|1|1|0|1|6|0|10|13|2|2|4|4|5|1|1|11|22|8|1|0|3|2|23|4|14|11|4|46|9|2|9|4|6|6|0|8|8|1|4|0|6|5|2|
|Invisible Stalker|13|18|8|6|22|1|524|7|3|4|6|22|10|10|150|10|2|5|5|2|4|24|0|3|3|22|6|4|28|15|5|3|1|6|2|1|46|1|29|0|40|20|4|1|1|1|1|6|0|10|13|2|2|4|3|0|1|7|11|22|8|1|0|8|2|23|4|14|11|4|46|9|2|6|2|4|6|6|2|2|0|8|8|3|3|0|
|Laboratory Maniac|13|99|8|7|1|10|11|11|3|4|1|0|10|10|150|10|2|5|5|2|4|24|0|3|2|22|6|4|28|15|2|5|1|6|2|1|46|1|29|0|40|20|2|1|1|1|1|6|0|10|13|1|2|4|1|0|1|7|11|1|8|1|0|0|2|23|4|14|11|4|46|9|2|1|7|6|4|8|9|3|3|8|4|8|5|6|
|Lantern Spirit|24|155|47|42|26|46|371|7|0|8|20|2|2|41|110|43|0|14|31|38|7|5|25|20|2|16|6|3|8|2|4|5|1|6|2|1|46|1|29|0|40|20|2|3|1|1|1|6|0|10|13|2|0|4|1|0|4|7|11|1|8|1|0|0|2|23|4|14|11|4|46|9|2|1|9|9|3|4|9|5|7|2|7|0|2|4|
|Lost in the Mist|28|230|27|43|2|48|338|10|5|5|97|12|5|0|126|39|0|6|19|14|14|21|3|13|6|22|16|0|19|2|11|5|1|6|2|1|46|1|29|0|40|20|0|3|1|0|1|6|0|10|13|2|0|6|1|0|5|7|11|1|8|1|0|0|2|23|4|14|11|4|46|9|2|1|1|6|5|4|8|7|5|3|6|6|5|5|
|Ludevic's Test Subject|4|2|2|6|2|48|338|10|5|5|3|12|5|5|126|0|5|6|19|15|5|21|3|0|6|22|16|0|19|2|1|10|1|1|2|4|46|1|29|0|40|20|0|3|3|0|1|6|0|10|13|2|0|6|1|0|0|7|11|1|8|1|0|0|1|23|2|14|11|4|46|9|2|1|3|5|2|6|0|4|0|6|2|2|1|6|
|Ludevic's Abomination|4|61|2|12|2|48|21|10|5|5|3|12|5|5|126|0|5|6|19|15|5|21|3|0|6|22|16|0|19|2|1|10|1|1|2|4|46|1|8|0|40|20|0|3|3|0|1|6|0|10|13|2|0|6|1|0|0|7|11|1|8|1|0|0|1|23|2|14|11|4|46|9|2|1|2|8|9|3|1|9|3|9|1|7|3|7|
|Makeshift Mauler|56|502|6|42|32|72|130|19|6|40|67|16|16|0|200|66|6|17|41|24|21|4|35|18|2|5|36|0|78|10|0|10|1|1|2|4|46|1|8|0|40|0|0|8|2|0|1|9|0|10|0|2|3|6|1|0|3|7|11|1|8|1|0|0|1|23|2|14|11|4|46|9|2|1|1|8|5|0|9|6|9|8|5|2|8|0|
|Memory's Journey|38|112|53|1|2|10|230|16|0|87|60|22|6|8|22|22|16|17|5|24|53|6|40|0|3|0|1|0|37|4|8|10|28|1|2|4|46|1|8|0|40|0|0|2|1|0|1|9|0|10|3|2|3|1|19|0|3|7|11|3|8|1|0|0|1|23|2|14|11|4|46|9|1|1|7|7|7|0|6|6|4|6|6|4|2|0|
|Mindshrieker|3|57|53|1|2|10|230|16|3|87|1|4|3|1|22|22|16|17|5|2|14|2|40|0|3|0|1|0|37|4|8|21|1|3|2|8|46|1|8|0|40|0|0|2|2|0|1|9|0|10|3|2|3|1|19|0|3|7|11|3|8|1|0|0|1|23|2|14|11|4|46|9|1|1|1|3|5|4|2|1|9|9|7|8|3|4|
